Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
bostoncollege,16,5,5,6,AirForce,11,4,4,3,2024-02-04,northwestern
waynestate,16,8,4,4,incarnateword,9,1,5,3,2024-02-04,northwestern
temple,15,4,5,6,ohiostate,12,5,4,3,2024-02-04,northwestern
stanford,27,9,9,9,detroitmercy,0,0,0,0,2024-02-04,northwestern
lawrence,20,5,6,9,fdu,7,4,3,0,2024-02-04,northwestern
bostoncollege,14,4,6,4,ohiostate,13,5,3,5,2024-02-04,northwestern
stevens,17,2,6,9,njit,10,7,3,0,2024-02-04,stevens
wagner,16,4,6,6,vassar,11,5,3,3,2024-02-04,wagner
columbia,20,8,5,7,wagner,7,1,4,2,2024-02-04,wagner
columbia,26,9,9,8,lafayette,1,0,0,1,2024-02-04,wagner
columbia,25,9,7,9,drew,2,0,2,0,2024-02-04,wagner
drew,19,6,7,6,lafayette,8,3,2,3,2024-02-04,wagner
wagner,21,7,8,6,lafayette,6,2,1,3,2024-02-04,wagner
wagner,19,5,7,7,drew,8,4,2,2,2024-02-04,wagner
ucsd,27,9,9,9,detroitmercy,0,0,0,0,2024-02-03,northwestern
incarnateword,18,6,9,3,fdu,9,3,0,6,2024-02-03,northwestern
AirForce,14,3,7,4,denison,13,6,2,5,2024-02-03,northwestern
northwestern,14,5,5,4,temple,13,4,4,5,2024-02-03,northwestern
fdu,20,9,9,2,detroitmercy,7,0,0,7,2024-02-03,northwestern
ohiostate,22,8,5,9,waynestate,5,1,4,0,2024-02-03,northwestern
AirForce,23,9,7,7,clevelandstate,4,0,2,2,2024-02-03,northwestern
temple,18,3,7,8,denison,9,6,2,1,2024-02-03,northwestern
stanford,15,5,5,5,bostoncollege,12,4,4,4,2024-02-03,northwestern
ucsd,17,4,4,9,pennstate,10,5,5,0,2024-02-03,northwestern
northwestern,16,5,6,5,cornell,11,4,3,4,2024-02-03,northwestern
stanford,24,9,7,8,clevelandstate,3,0,2,1,2024-02-03,northwestern
ohiostate,25,9,8,8,incarnateword,2,0,1,1,2024-02-03,northwestern
cornell,21,5,7,9,denison,6,4,2,0,2024-02-03,northwestern
AirForce,22,9,4,9,waynestate,5,0,5,0,2024-02-03,northwestern
northwestern,14,5,5,4,ucsd,13,4,4,5,2024-02-03,northwestern
notredame,16,6,6,4,bostoncollege,11,3,3,5,2024-02-03,northwestern
incarnateword,18,6,9,3,detroitmercy,6,0,0,6,2024-02-03,northwestern
