Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
Penn,14,5,5,4,St Johns,13,4,4,5,2024-01-28,Long Island University
Princeton,22,6,7,9,LIU,5,3,2,0,2024-01-28,Long Island University
Columbia,14,6,4,4,Princeton,13,3,5,5,2024-01-28,Long Island University
Penn,23,7,7,9,LIU,4,2,2,0,2024-01-28,Long Island University
Penn,14,5,4,5,Princeton,13,4,5,4,2024-01-28,Long Island University
Columbia,18,8,4,6,St Johns,9,1,5,3,2024-01-28,Long Island University
Columbia,24,9,7,8,LIU,3,0,2,1,2024-01-28,Long Island University
St Johns,16,5,8,3,Princeton,11,4,1,6,2024-01-28,Long Island University
St Johns,21,5,7,9,LIU,6,4,2,0,2024-01-28,Long Island University
Harvard,23,9,8,6,NYU,4,0,1,3,2024-01-28,Harvard
Yale,22,9,8,5,Sacred Heart,5,0,1,4,2024-01-27,Yale
Yale,27,9,9,9,Vassar,0,0,0,0,2024-01-27,Yale
Wayne State,22,9,9,4,Detroit Mercy,5,0,0,5,2024-01-27,Notre Dame
Lawrence,16,6,4,6,Cleveland State,8,0,5,3,2024-01-27,Notre Dame
Denison,16,9,2,5,Cleveland State,11,0,7,4,2024-01-27,Notre Dame
Notre Dame,21,8,4,9,Wayne State,6,1,5,0,2024-01-27,Notre Dame
Northwestern,27,9,9,9,Detroit Mercy,0,0,0,0,2024-01-27,Northwestern
Denison,15,8,3,4,Lawrence,12,1,6,5,2024-01-27,Notre Dame
Wayne State,20,9,7,4,Cleveland State,6,0,2,4,2024-01-27,Notre Dame
Notre Dame,25,9,7,9,Lawrence,2,0,2,0,2024-01-27,Notre Dame
Cleveland State,15,0,9,6,Detroit Mercy,3,0,0,3,2024-01-27,Notre Dame
Northwestern,24,7,8,9,Denison,3,2,1,0,2024-01-27,Notre Dame
Northwestern,27,9,9,9,Cleveland State,0,0,0,0,2024-01-27,Notre Dame
Denison,15,5,1,9,Wayne State,12,4,8,0,2024-01-27,Notre Dame
Notre Dame,27,9,9,9,Detroit Mercy,0,0,0,0,2024-01-27,Notre Dame
Denison,24,9,8,7,Detroit Mercy,3,0,1,2,2024-01-27,Notre Dame
Wayne State,15,7,8,0,Lawrence,12,2,1,9,2024-01-27,Notre Dame
