Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber,Date,Host
brandeis,14,7,2,5,stevens,13,2,7,4,2024-01-27,brandeis
nyu,14,3,3,8,mit,13,6,6,1,2024-01-27,brandeis
duke,16,7,4,5,bostoncollege,11,2,5,4,2024-01-27,brandeis
nyu,18,9,4,5,brandeis,9,0,5,4,2024-01-27,brandeis
mit,19,8,5,6,haverford,8,1,4,3,2024-01-27,brandeis
bostoncollege,17,6,3,8,haverford,10,3,6,1,2024-01-27,brandeis
brandeis,26,9,8,9,hunter,1,0,1,0,2024-01-27,brandeis
nyu,14,5,3,6,bostoncollege,13,4,6,3,2024-01-27,brandeis
brandeis,16,7,4,5,duke,11,2,5,4,2024-01-27,brandeis
njit,15,3,4,8,mit,12,6,5,1,2024-01-27,brandeis
stevens,25,8,8,9,hunter,2,1,1,0,2024-01-27,brandeis
bostoncollege,26,8,9,9,hunter,1,1,0,0,2024-01-27,brandeis
brandeis,19,6,6,7,haverford,8,3,3,2,2024-01-27,brandeis
duke,19,5,8,6,nyu,8,4,1,3,2024-01-27,brandeis
njit,14,5,4,5,bostoncollege,13,4,5,4,2024-01-27,brandeis
mit,14,4,5,5,stevens,13,5,4,4,2024-01-27,brandeis
harvard,16,6,5,5,duke,11,3,4,4,2024-01-26,harvard
princeton,24,8,9,7,wagner,3,1,0,2,2024-01-24,princeton
princeton,23,8,7,8,drew,4,1,2,1,2024-01-21,upenn
pennstate,16,7,4,5,njit,11,2,5,4,2024-01-21,upenn
ohiostate,15,2,8,5,nyu,12,7,1,4,2024-01-21,upenn
yale,14,6,4,4,notredame,13,3,5,5,2024-01-21,upenn
upenn,21,6,7,8,drew,6,3,2,1,2024-01-21,upenn
njit,14,3,6,5,nyu,13,6,3,4,2024-01-21,upenn
ohiostate,15,4,5,6,yale,12,5,4,3,2024-01-21,upenn
notredame,15,4,5,6,princeton,12,5,4,3,2024-01-21,upenn
pennstate,16,3,8,5,duke,11,6,1,4,2024-01-21,upenn
ohiostate,15,3,7,5,upenn,12,6,2,4,2024-01-21,upenn
columbia,20,8,5,7,njit,7,1,4,2,2024-01-21,upenn
yale,14,4,5,5,pennstate,13,5,4,4,2024-01-21,upenn
princeton,20,5,8,7,duke,7,4,1,2,2024-01-21,upenn
notredame,22,7,7,8,stjohns,5,2,2,1,2024-01-21,upenn
notredame,14,3,5,6,upenn,13,6,4,3,2024-01-21,upenn
pennstate,20,7,5,8,drew,7,2,4,1,2024-01-21,upenn
columbia,15,7,3,5,nyu,12,2,6,4,2024-01-21,upenn
ohiostate,14,3,6,5,stjohns,13,6,3,4,2024-01-21,upenn
yale,17,7,6,4,duke,10,2,3,5,2024-01-21,upenn
upenn,16,4,6,6,stjohns,11,5,3,3,2024-01-21,upenn
princeton,16,4,9,3,ohiostate,11,5,0,6,2024-01-21,upenn
columbia,14,3,4,7,notredame,13,6,5,2,2024-01-21,upenn
duke,20,8,4,8,drew,7,1,5,1,2024-01-21,upenn
columbia,22,7,6,9,drew,5,2,3,0,2024-01-21,upenn
pennstate,15,6,3,6,princeton,12,3,6,3,2024-01-21,upenn
yale,17,4,7,6,njit,10,5,2,3,2024-01-21,upenn
stjohns,16,4,8,4,nyu,11,5,1,5,2024-01-21,upenn
princeton,15,4,6,5,yale,12,5,3,4,2024-01-21,upenn
nyu,19,7,4,8,drew,8,2,5,1,2024-01-21,upenn
vassar,19,7,4,8,hunter,8,2,5,1,2024-01-21,vassar
haverford,14,6,5,3,wagner,13,3,4,6,2024-01-20,upenn
unc,17,6,5,6,shu,10,3,4,3,2024-01-20,upenn
duke,17,5,7,5,njit,10,4,2,4,2024-01-20,upenn
johnshopkins,24,8,8,8,lafayette,3,1,1,1,2024-01-20,upenn
upenn,15,8,3,4,ucsd,12,1,6,5,2024-01-20,upenn
duke,14,5,3,6,johnshopkins,13,4,6,3,2024-01-20,upenn
nyu,19,6,6,7,unc,8,3,3,2,2024-01-20,upenn
upenn,19,7,6,6,wagner,8,2,3,3,2024-01-20,upenn
njit,19,4,7,8,haverford,8,5,2,1,2024-01-20,upenn
duke,14,5,4,5,upenn,13,4,5,4,2024-01-20,upenn
unc,14,7,4,3,njit,13,2,5,6,2024-01-20,upenn
nyu,14,4,5,5,ucsd,13,5,4,4,2024-01-20,upenn
johnshopkins,19,9,7,3,wagner,8,0,2,6,2024-01-20,upenn
shu,17,5,6,6,lafayette,8,4,3,1,2024-01-20,upenn
upenn,15,5,4,6,shu,12,4,5,3,2024-01-20,upenn
ucsd,23,7,7,9,lafayette,4,2,2,0,2024-01-20,upenn
nyu,19,7,5,7,duke,8,2,4,2,2024-01-20,upenn
unc,23,6,8,9,haverford,4,3,1,0,2024-01-20,upenn
nyu,17,4,5,8,upenn,10,5,4,1,2024-01-20,upenn
unc,22,7,6,9,lafayette,5,2,3,0,2024-01-20,upenn
johnshopkins,17,7,5,5,ucsd,10,2,4,4,2024-01-20,upenn
duke,22,9,8,5,wagner,5,0,1,4,2024-01-20,upenn
upenn,14,6,4,4,njit,13,3,5,5,2024-01-20,upenn
ucsd,18,7,5,6,shu,9,2,4,3,2024-01-20,upenn
nyu,17,7,5,5,johnshopkins,10,2,4,4,2024-01-20,upenn
haverford,18,6,6,6,lafayette,9,3,3,3,2024-01-20,upenn
upenn,16,4,5,7,haverford,11,5,4,2,2024-01-20,upenn
njit,21,6,7,8,lafayette,6,3,2,1,2024-01-20,upenn
ucsd,19,7,7,5,wagner,8,2,2,4,2024-01-20,upenn
duke,20,7,6,7,shu,7,2,3,2,2024-01-20,upenn
columbia,15,4,5,6,stjohns,12,5,4,3,2024-01-20,stjohns
notredame,17,7,5,5,ohiostate,10,2,4,4,2024-01-20,stjohns
harvard,14,3,7,4,pennstate,13,6,2,5,2024-01-20,stjohns
ohiostate,16,4,5,7,stjohns,11,5,4,2,2024-01-20,stjohns
notredame,16,4,5,7,pennstate,11,5,4,2,2024-01-20,stjohns
columbia,16,6,3,7,harvard,11,3,6,2,2024-01-20,stjohns
stjohns,14,4,5,5,pennstate,13,5,4,4,2024-01-20,stjohns
notredame,17,5,5,7,harvard,10,4,4,2,2024-01-20,stjohns
columbia,19,8,3,8,ohiostate,8,1,6,1,2024-01-20,stjohns
notredame,16,6,4,6,stjohns,11,3,5,3,2024-01-20,stjohns
columbia,19,4,8,7,pennstate,8,5,1,2,2024-01-20,stjohns
ohiostate,14,6,4,4,harvard,13,3,5,5,2024-01-20,stjohns
harvard,16,7,6,3,stjohns,11,2,3,6,2024-01-20,stjohns
ohiostate,14,3,5,6,pennstate,13,6,4,3,2024-01-20,stjohns
columbia,15,6,4,5,notredame,12,3,5,4,2024-01-20,stjohns
princeton,18,6,8,4,ucsd,9,3,1,5,2024-01-19,temple
princeton,16,5,7,4,unc,11,4,2,5,2024-01-19,temple
ucsd,15,6,5,4,unc,12,3,4,5,2024-01-19,temple
waynestate,19,9,7,3,detroitmercy,8,0,2,6,2024-01-14,detroitmercy
upenn,18,6,7,5,unc,9,3,2,4,2024-01-14,pennstate
yale,14,2,7,5,pennstate,13,7,2,4,2024-01-14,pennstate
pennstate,23,8,8,7,haverford,4,1,1,2,2024-01-14,pennstate
yale,16,6,5,5,unc,11,3,4,4,2024-01-14,pennstate
columbia,20,7,7,6,upenn,7,2,2,3,2024-01-14,pennstate
pennstate,16,8,3,5,unc,11,1,6,4,2024-01-14,pennstate
yale,20,5,6,9,upenn,7,4,3,0,2024-01-14,pennstate
columbia,22,7,8,7,haverford,5,2,1,2,2024-01-14,pennstate
pennstate,14,6,5,3,columbia,13,3,4,6,2024-01-14,pennstate
unc,18,6,5,7,haverford,9,3,4,2,2024-01-14,pennstate
pennstate,19,7,6,6,upenn,8,2,3,3,2024-01-14,pennstate
columbia,16,7,4,5,yale,11,2,5,4,2024-01-14,pennstate
yale,15,5,3,7,haverford,12,4,6,2,2024-01-14,pennstate
columbia,20,8,4,8,unc,7,1,5,1,2024-01-14,pennstate
princeton,17,5,7,5,pennstate,10,4,2,4,2023-12-03,shu
nyu,20,8,5,7,vassar,7,1,4,2,2023-12-03,shu
princeton,15,5,8,2,nyu,12,4,1,7,2023-12-03,shu
pennstate,19,6,7,6,njit,8,3,2,3,2023-12-03,shu
shu,17,7,5,5,vassar,10,2,4,4,2023-12-03,shu
pennstate,17,6,8,3,nyu,10,3,1,6,2023-12-03,shu
