Team A,Team A Overall,Team A Foil,Team A Epee,Team A Saber,Team B,Team B Overall,Team B Foil,Team B Epee,Team B Saber
Notre Dame,22,9,5,8,Cleveland State,5,0,4,1
Northwestern,25,8,8,9,Lawrence,2,1,1,0
Boston College,16,9,2,5,Stevens,11,0,7,4
Brandeis,18,5,4,9,NJIT,9,4,5,0
Duke,27,9,9,9,Haverford,0,0,0,0
MIT,25,7,9,9,Hunter,2,2,0,0
NYU,14,4,6,4,Brown,13,5,3,5
Brandeis,18,6,6,6,Stevens,9,3,3,3
Duke,20,7,8,5,Brown,7,2,1,4
MIT,14,4,5,5,NYU,13,5,4,4
Tufts,18,7,3,8,NJIT,9,2,6,1
Wellesley,24,8,8,8,Hunter,3,1,1,1
Duke,18,7,5,6,Boston College,9,2,4,3
NYU,15,5,7,3,Brandeis,12,4,2,6
Brown,27,9,9,9,Hunter,0,0,0,0
MIT,22,7,8,7,Haverford,5,2,1,2
Tufts,21,8,5,8,Stevens,6,1,4,1
Boston College,27,9,9,9,Haverford,0,0,0,0
Brandeis,21,7,6,8,Hunter,6,2,3,1
Brown,19,9,3,7,Stevens,8,0,6,2
Duke,19,6,7,6,Tufts,8,3,2,3
Wellesley,15,7,4,4,NYU,12,2,5,5
Boston College,16,4,7,5,NYU,11,5,2,4
Duke,22,8,6,8,Brandeis,5,1,3,1
MIT,21,8,4,9,NJIT,6,1,5,0
Stevens,18,6,3,9,Hunter,9,3,6,0
Wellesley,23,7,9,7,Haverford,4,2,0,2
Boston College,26,8,9,9,Hunter,1,1,0,0
Brandeis,24,8,7,9,Haverford,3,1,2,0
Brown,25,9,7,9,NJIT,2,0,2,0
Duke,25,8,9,8,NYU,2,1,0,1
Wellesley,17,6,7,4,Stevens,10,3,2,5
Boston College,27,9,9,9,NJIT,0,0,0,0
Brown,27,9,9,9,Haverford,0,0,0,0
MIT,20,5,8,7,Stevens,7,4,1,2
Tufts,14,6,4,4,NYU,13,3,5,5
Harvard,16,7,5,4,Duke,11,2,4,5
Princeton,17,4,4,9,Wagner,10,5,5,0
Princeton,22,6,7,9,Drew,5,3,2,0
Penn State,22,9,5,8,NJIT,5,0,4,1
Duke,15,3,5,7,Northwestern,12,6,4,2
Ohio State,21,7,6,8,NYU,6,2,3,1
Notre Dame,20,7,7,6,Temple,7,2,2,3
Penn,14,4,5,5,Northwestern,13,5,4,4
Temple,20,6,5,9,NJIT,7,3,4,0
Yale,15,5,7,3,Ohio State,12,4,2,6
Princeton,15,2,7,6,Notre Dame,12,7,2,3
Duke,17,7,4,6,Penn State,10,2,5,3
Penn,19,4,6,9,Ohio State,8,5,3,0
Temple,16,7,4,5,Columbia,11,2,5,4
Penn State,16,3,5,8,Yale,11,6,4,1
Duke,16,6,4,6,Princeton,11,3,5,3
Notre Dame,16,6,5,5,St Johns,11,3,4,4
Penn,16,4,5,7,Notre Dame,11,5,4,2
Northwestern,26,9,8,9,Drew,1,0,1,0
Columbia,22,6,7,9,NYU,5,3,2,0
St Johns,14,3,7,4,Ohio State,13,6,2,5
Duke,16,5,5,6,Yale,11,4,4,3
St Johns,15,4,8,3,Penn,12,5,1,6
Northwestern,22,8,6,8,NJIT,5,1,3,1
Yale,14,3,8,3,Temple,13,6,1,6
Ohio State,15,9,4,2,Princeton,12,0,5,7
Notre Dame,15,5,7,3,Columbia,12,4,2,6
Duke,22,9,5,8,Drew,5,0,4,1
Penn,18,4,7,7,Temple,9,5,2,2
Columbia,23,8,6,9,Drew,4,1,3,0
Penn State,14,7,4,3,Princeton,13,2,5,6
Yale,15,5,6,4,Northwestern,12,4,3,5
St Johns,17,5,6,6,NYU,10,4,3,3
St Johns,15,6,4,5,NJIT,11,3,5,3
St Johns,15,6,4,5,NJIT,12,3,5,4
Princeton,14,1,4,9,Yale,13,8,5,0
NYU,16,5,4,7,Drew,11,4,5,2
Vassar,20,6,7,7,Hunter,7,3,2,2
Hunter,22,9,8,5,Yeshiva,5,0,1,4
Hunter,21,8,6,7,CCNY,6,1,3,2
Vassar,27,9,9,9,Yeshiva,0,0,0,0
Yeshiva,13,1,7,5,CCNY,12,7,2,3
Vassar,27,9,9,9,CCNY,0,0,0,0
Wagner,20,6,9,5,Haverford,7,3,0,4
North Carolina,24,9,9,6,Sacred Heart,3,0,0,3
Duke,24,8,7,9,NJIT,3,1,2,0
Johns Hopkins,23,8,9,6,Lafayette,4,1,0,3
Penn,26,8,9,9,FDU,1,1,0,0
Duke,20,7,7,6,Johns Hopkins,7,2,2,3
Sacred Heart,19,9,4,6,FDU,8,0,5,3
Cornell,26,9,8,9,Lafayette,1,0,1,0
NYU,14,5,6,3,North Carolina,13,4,3,6
Penn,20,7,7,6,Wagner,7,2,2,3
NJIT,15,5,7,3,Haverford,12,4,2,6
Penn,14,2,6,6,Duke,13,7,3,3
North Carolina,23,8,6,9,NJIT,4,1,3,0
UC San Diego,16,6,6,4,NYU,11,3,3,5
Johns Hopkins,20,8,5,7,Wagner,7,1,4,2
Sacred Heart,14,5,5,4,Lafayette,11,4,4,3
Penn,14,5,5,4,Cornell,13,4,4,5
UC San Diego,26,9,9,8,Lafayette,1,0,0,1
NJIT,17,7,7,3,FDU,10,2,2,6
Duke,16,4,3,9,NYU,11,5,6,0
North Carolina,25,8,9,8,Haverford,2,1,0,1
Penn,20,5,7,8,NYU,7,4,2,1
North Carolina,26,9,8,9,Lafayette,1,0,1,0
UC San Diego,27,9,9,9,FDU,0,0,0,0
Cornell,17,4,7,6,Johns Hopkins,10,5,2,3
Duke,19,8,3,8,Wagner,8,1,6,1
Penn,21,8,4,9,NJIT,6,1,5,0
UC San Diego,21,9,7,5,Sacred Heart,6,0,2,4
Johns Hopkins,14,7,5,2,NYU,13,2,4,7
Cornell,15,5,5,5,Duke,12,4,4,4
Wagner,21,4,9,8,FDU,6,5,0,1
Haverford,16,4,6,6,Lafayette,11,5,3,3
Penn,26,9,8,9,Haverford,1,0,1,0
NJIT,20,8,8,4,Lafayette,5,1,1,3
Cornell,27,9,9,9,FDU,0,0,0,0
UC San Diego,24,9,7,8,Wagner,3,0,2,1
Duke,22,9,6,7,Sacred Heart,5,0,3,2
Columbia,19,7,6,6,St Johns,8,2,3,3
Notre Dame,17,4,7,6,Ohio State,10,5,2,3
Harvard,16,8,5,3,Penn State,11,1,4,6
St Johns,17,5,5,7,Ohio State,10,4,4,2
Notre Dame,19,7,6,6,Penn State,8,2,3,3
Columbia,16,1,6,9,Harvard,11,8,3,0
St Johns,17,5,4,8,Penn State,10,4,5,1
Notre Dame,14,4,3,7,Harvard,13,5,6,2
Columbia,21,7,5,9,Ohio State,6,2,4,0
St Johns,18,5,8,5,Notre Dame,9,4,1,4
Columbia,15,4,2,9,Penn State,12,5,7,0
Harvard,16,9,5,2,Ohio State,11,0,4,7
Harvard,14,7,7,0,St Johns,13,2,2,9
Ohio State,15,6,2,7,Penn State,12,3,7,2
Columbia,16,7,6,3,Notre Dame,11,2,3,6
Princeton,17,5,7,5,Temple,10,4,2,4
Temple,14,6,3,5,UC San Diego,13,3,6,4
Princeton,16,3,4,9,North Carolina,11,6,5,0
Princeton,16,3,4,9,UC San Diego,11,6,5,0
UC San Diego,14,6,5,3,North Carolina,13,3,4,6
Wayne State,20,9,9,2,Detroit Mercy,7,0,0,7
Penn State,16,3,6,7,Yale,11,6,3,2
Penn,19,8,6,5,North Carolina,8,1,3,4
Temple,24,8,7,9,Haverford,3,1,2,0
Penn State,25,8,8,9,Haverford,2,1,1,0
Yale,17,5,8,4,North Carolina,10,4,1,5
Columbia,19,8,5,6,Penn,8,1,4,3
Penn State,18,5,8,5,North Carolina,9,4,1,4
Yale,17,6,8,3,Penn,10,3,1,6
Columbia,17,6,5,6,Temple,10,3,4,3
Columbia,23,9,6,8,Penn State,4,0,3,1
North Carolina,27,9,9,9,Haverford,0,0,0,0
Yale,14,4,7,3,Temple,13,5,2,6
Penn State,16,4,6,6,Penn,11,5,3,3
Temple,19,6,7,6,North Carolina,8,3,2,3
Columbia,19,6,5,8,Yale,8,3,4,1
Penn State,17,6,7,4,Temple,10,3,2,5
Yale,23,8,9,6,Haverford,4,1,0,3
Columbia,20,9,5,6,North Carolina,7,0,4,3
Tufts,14,5,3,6,Wellesley,13,4,6,3
Cornell,21,6,7,8,Northwestern,6,3,2,1
Wellesley,14,5,7,2,Northwestern,13,4,2,7
Northwestern,21,6,8,7,Tufts,6,3,1,2
Cornell,19,6,7,6,Wellesley,8,3,2,3
Cornell,21,7,9,5,Tufts,6,2,0,4
NYU,18,7,6,5,Vassar,9,2,3,4
Temple,17,5,5,7,NYU,10,4,4,2
Penn State,24,8,7,9,NJIT,3,1,2,0
Sacred Heart,19,7,4,8,Vassar,8,2,5,1
Penn State,21,6,8,7,NYU,6,3,1,2
Sacred Heart,14,4,2,8,NJIT,13,5,7,1
Temple,24,9,7,8,Vassar,3,0,2,1
Temple,26,9,9,8,Sacred Heart,1,0,0,1
NJIT,15,7,6,2,Vassar,12,2,3,7
Temple,22,9,4,9,NJIT,5,0,5,0
NYU,18,9,7,2,Sacred Heart,9,0,2,7
Penn State,24,9,7,8,Vassar,3,0,2,1
NYU,17,7,2,8,NJIT,10,2,7,1
Penn State,22,8,8,6,Sacred Heart,5,1,1,3
Cornell,18,7,5,6,Brown,9,2,4,3
Brandeis,17,8,1,8,Drew,10,1,8,1
MIT,24,8,8,8,Lawrence,3,1,1,1
Wellesley,27,9,9,9,Yeshiva,0,0,0,0
Boston College,23,8,6,9,Drew,4,1,3,0
Brown,20,6,8,6,LIU,7,3,1,3
Cornell,15,4,3,8,Wellesley,12,5,6,1
Brandeis,22,9,5,8,Lawrence,5,0,4,1
St Johns,14,6,4,4,MIT,13,3,5,5
St Johns,14,5,6,3,Brandeis,13,4,3,6
LIU,14,6,2,6,Drew,13,3,7,3
Wellesley,17,8,7,2,Lawrence,10,1,2,7
MIT,16,5,5,6,Tufts,11,4,4,3
Brown,27,9,9,9,Yeshiva,0,0,0,0
Boston College,24,9,8,7,Lawrence,3,0,1,2
Cornell,15,6,4,5,Tufts,12,3,5,4
Brandeis,27,9,9,9,Yeshiva,0,0,0,0
Brown,21,9,3,9,Drew,6,0,6,0
St Johns,18,5,7,6,Wellesley,9,4,2,3
Boston College,20,8,6,6,LIU,7,1,3,3
Wellesley,16,8,4,4,Drew,11,1,5,5
Cornell,18,8,4,6,MIT,9,1,5,3
St Johns,15,5,6,4,Tufts,12,4,3,5
Boston College,18,3,9,6,Cornell,9,6,0,3
Brown,16,6,3,7,St Johns,11,3,6,2
Tufts,23,9,6,8,Lawrence,4,0,3,1
MIT,27,9,9,9,Yeshiva,0,0,0,0
Wellesley,21,8,8,5,LIU,6,1,1,4
Cornell,18,6,7,5,Brandeis,9,3,2,4
Brown,24,9,8,7,Lawrence,3,0,1,2
MIT,23,9,5,9,Drew,4,0,4,0
St Johns,17,6,6,5,LIU,10,3,3,4
Tufts,25,7,9,9,Yeshiva,2,2,0,0
St Johns,18,6,6,6,Boston College,9,3,3,3
Brandeis,16,4,6,6,LIU,11,5,3,3
Brown,16,6,6,4,Tufts,11,3,3,5
Cornell,27,9,9,9,Yeshiva,0,0,0,0
Drew,17,7,9,1,Lawrence,10,2,0,8
North Carolina,17,6,4,7,Air Force,10,3,5,2
Notre Dame,18,6,6,6,Denison,9,3,3,3
Duke,16,5,7,4,Stanford,11,4,2,5
Princeton,14,0,6,8,Ohio State,13,9,3,1
Penn,14,3,7,4,Northwestern,13,6,2,5
Duke,24,9,7,8,Cleveland State,3,0,2,1
Stanford,15,7,5,3,North Carolina,12,2,4,6
Notre Dame,22,7,8,7,Penn,5,2,1,2
Princeton,15,0,7,8,Northwestern,12,9,2,1
Ohio State,19,6,6,7,Air Force,8,3,3,2
Denison,15,5,3,7,Air Force,12,4,6,2
North Carolina,23,9,5,9,Cleveland State,4,0,4,0
